"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","pH","sulphates","alcohol","quality","wine_type","wine_type_bin","acidity_ratio","alcohol_va_ratio","sugar_body_ratio","sulfur_efficiency"
7.7,0.69,0.22,1.9,0.084,18,3.31,0.48,9.5,5,"red",0,8.46152916315477,13.7680959882667,18.049828526629,2.33766203406987
8.3,0.675,0.26,2.1,0.084,11,3.31,0.53,9.2,4,"red",0,8.87699585348037,13.6296094376156,19.3198222576352,1.32530104514445
9.7,0.32,0.54,2.5,0.094,28,3.28,0.82,9.6,5,"red",0,11.2790566522597,29.999906250293,23.9997696022118,2.88659764055694
8.8,0.41,0.64,2.2,0.093,9,3.54,0.66,10.5,5,"red",0,8.38094439910057,25.6096936348936,23.0997574525468,1.02272715650828
6.8,0.785,0,2.4,0.104,14,3.52,0.55,10.7,6,"red",0,8.66240934724924,13.6305558846422,25.6797252269401,2.05882322664364
6.7,0.75,0.12,2,0.086,12,3.38,0.52,10.1,5,"red",0,7.70114057340164,13.466648711135,20.1997959820606,1.79104450879933
8.3,0.625,0.2,1.5,0.08,27,3.16,1.12,9.1,4,"red",0,10.0605938659468,14.5599767040373,13.6498757861303,3.25301165626366
6.2,0.45,0.2,1.6,0.069,3,3.41,0.56,9.2,5,"red",0,9.5384468639279,20.4443990124466,14.7198645772459,0.483870889698244
7.8,0.43,0.7,1.9,0.464,22,3.13,1.28,9.4,5,"red",0,6.90264875871791,21.8604142781063,17.8598321175781,2.82051245890866
7.4,0.5,0.47,2,0.086,21,3.36,0.57,9.1,5,"red",0,7.62885811457926,18.1999636000728,18.1998343815071,2.83783745434629
7.3,0.67,0.26,1.8,0.401,16,3.16,1.14,9.4,5,"red",0,7.84945392531836,14.0298298062242,16.919840953495,2.1917805216739
6.3,0.3,0.48,1.8,0.069,18,3.44,0.78,10.3,6,"red",0,8.07691272190677,34.3332188892704,18.5398090399669,2.85714240362819
6.9,0.55,0.15,2.2,0.076,19,3.41,0.59,10.1,5,"red",0,9.85712877553032,18.3636029752673,22.2197755802666,2.75362278933003
8.6,0.49,0.28,1.9,0.11,20,2.93,1.95,9.9,6,"red",0,11.1688166638745,20.2040403999176,18.8098137828435,2.32558112493243
7.7,0.49,0.26,1.9,0.062,9,3.39,0.64,9.6,5,"red",0,10.266652977796,19.5917967514352,18.239824897681,1.16883101703493
9.3,0.39,0.44,2.1,0.107,34,3.14,1.22,9.5,5,"red",0,11.2048057773424,24.3589119002259,19.9498104768005,3.65591358538564
7,0.62,0.08,1.8,0.076,8,3.48,0.53,9,5,"red",0,9.99998571430612,14.5161056191845,16.1998542013122,1.14285697959186
7.9,0.52,0.26,1.9,0.079,42,3.23,0.54,9.5,5,"red",0,10.1281921433434,18.2691956361622,18.049828526629,5.31645502323354
8.6,0.49,0.29,2,0.11,19,2.93,1.98,9.8,5,"red",0,11.0256268902219,19.9999591837568,19.5998079218824,2.20930206868581
5,1.02,0.04,1.4,0.045,41,3.75,0.48,10.5,4,"red",0,4.71697668209747,10.2941075547965,14.6998456516207,8.19999836000033
4.7,0.6,0.17,2.3,0.058,17,3.85,0.6,12.9,6,"red",0,6.1038881767686,21.4999641667264,29.6696172619373,3.61702050701691
6.8,0.775,0,3,0.102,8,3.45,0.56,10.7,5,"red",0,8.77418222686164,13.8064337981499,32.0996565336751,1.17647041522494
7,0.5,0.25,2,0.07,3,3.25,0.63,9.2,5,"red",0,9.33332088890548,18.3999632000736,18.3998307215574,0.428571367346948
7.6,0.9,0.06,2.5,0.079,5,3.39,0.56,9.8,5,"red",0,7.91665842014748,10.8888767901369,24.499759902353,0.65789465027702
8.1,0.545,0.18,1.9,0.08,13,3.3,0.59,9,6,"red",0,11.1723983828988,16.5137311674657,17.0998461013851,1.60493807346444
8.3,0.61,0.3,2.1,0.084,11,3.4,0.61,10.2,6,"red",0,9.12086909794605,16.7212840634687,21.4197815182285,1.32530104514445
7.8,0.5,0.3,1.9,0.075,8,3.31,0.56,10.4,6,"red",0,9.74998781251523,20.7999584000832,19.7597944981372,1.0256408941486
8.1,0.575,0.22,2.1,0.077,12,3.29,0.51,9.2,5,"red",0,10.1886664293504,15.9999721739614,19.3198222576352,1.48148129858256
7.2,0.49,0.24,2.2,0.07,5,3.33,0.48,9.4,5,"red",0,9.86300018767098,19.1836343191136,20.6798056098273,0.69444434799384
7.8,0.41,0.68,1.7,0.467,18,3.08,1.31,9.3,5,"red",0,7.15595673765437,22.6828715051915,15.8098529683674,2.30769201183436
6.2,0.63,0.31,1.7,0.088,15,3.46,0.79,9.3,5,"red",0,6.59573766410887,14.7618813303471,15.8098529683674,2.41935444849122
8,0.33,0.53,2.5,0.091,18,3.37,0.8,9.6,6,"red",0,9.30231476475027,29.0908209369063,23.9997696022118,2.24999971875004
8.1,0.785,0.52,2,0.122,37,3.21,0.69,9.3,5,"red",0,6.20689179548521,11.8471186660909,18.5998270216087,4.56790067062955
7.8,0.56,0.19,1.8,0.104,12,3.19,0.93,9.5,5,"red",0,10.3999861333518,16.9642554209725,17.0998375515433,1.5384613412229
8.4,0.62,0.09,2.2,0.084,11,3.15,0.66,9.8,5,"red",0,11.830969252156,15.8064261186676,21.5597887140706,1.30952365362814
8.4,0.6,0.1,2.2,0.085,14,3.15,0.66,9.8,5,"red",0,11.9999828571673,16.3333061111565,21.5597887140706,1.66666646825399
10.1,0.31,0.44,2.3,0.08,22,3.32,0.67,9.7,6,"red",0,13.466648711135,31.2902216444463,22.3097835950991,2.17821760611707
9.4,0.4,0.31,2.2,0.09,13,3.07,0.63,10.5,6,"red",0,13.2394179726507,26.2499343751641,23.0997574525468,1.38297857627887
8.3,0.54,0.28,1.9,0.077,11,3.39,0.61,10,6,"red",0,10.1219388756843,18.5184842250292,18.9998100019,1.32530104514445
7.8,0.56,0.12,2,0.082,7,3.37,0.5,9.4,6,"red",0,11.4705713668068,16.785684311278,18.7998232816612,0.897435782380028
8.8,0.55,0.04,2.2,0.119,14,3.21,0.6,10.9,6,"red",0,14.9152289572391,19.8181457851895,23.979738620849,1.59090891012399
7,0.69,0.08,1.8,0.097,22,3.34,0.54,9.2,6,"red",0,9.09089728454898,13.3333140096898,16.5598476494016,3.14285669387762
7.3,1.07,0.09,1.7,0.178,10,3.3,0.57,9,5,"red",0,6.29309802319136,8.41120709232982,15.2998623012393,1.36986282604619
7.3,0.695,0,2.5,0.075,3,3.49,0.52,9.2,5,"red",0,10.5035820092345,13.2373910253367,22.9997884019467,0.410958847813856
8,0.71,0,2.6,0.08,11,3.44,0.53,9.5,5,"red",0,11.2675897639581,13.3802628447002,24.6997653522292,1.37499982812502
7.8,0.5,0.17,1.6,0.082,21,3.39,0.48,9.5,5,"red",0,11.6417736689945,18.999962000076,15.1998556013718,2.69230734714008
9,0.62,0.04,1.9,0.146,27,3.16,0.7,9.4,5,"red",0,13.6363429752379,15.161265868926,17.8598321175781,2.9999996666667
8.2,1.33,0,1.7,0.081,3,3.53,0.49,10.9,5,"red",0,6.1654088981888,8.19548255978755,18.5297980252015,0.365853613920291
8.1,1.33,0,1.8,0.082,3,3.54,0.48,10.9,5,"red",0,6.09022098479625,8.19548255978755,19.619786144331,0.370370324645639
8,0.59,0.16,1.8,0.065,3,3.42,0.92,10.5,7,"red",0,10.6666524444634,17.7965800057966,18.8998015520837,0.374999953125006
6.1,0.38,0.15,1.8,0.072,6,3.42,0.57,9.4,5,"red",0,11.509412246392,24.7367770084816,16.919840953495,0.983606396130099
8,0.745,0.56,2,0.118,30,3.24,0.66,9.4,5,"red",0,6.13026350171379,12.6174327282782,18.7998232816612,3.74999953125006
5.6,0.5,0.09,2.3,0.049,17,3.63,0.63,13,5,"red",0,9.49150933642485,25.999948000104,29.899611305053,3.03571374362255
6.6,0.5,0.01,1.5,0.06,17,3.4,0.58,9.8,6,"red",0,12.9411510957822,19.5999608000784,14.6998559414118,2.57575718549134
7.9,1.04,0.05,2.2,0.084,13,3.22,0.55,9.9,6,"red",0,7.2476997727525,9.51922161613306,21.7797843801346,1.64556941195324
8.4,0.745,0.11,1.9,0.09,16,3.19,0.82,9.6,5,"red",0,9.82454991280712,12.8858887437735,18.239824897681,1.90476167800456
8.3,0.715,0.15,1.8,0.089,10,3.23,0.77,9.5,5,"red",0,9.59536462963627,13.2866947039235,17.0998375515433,1.2048191319495
7.2,0.415,0.36,2,0.081,13,3.48,0.64,9.2,5,"red",0,9.29031059314762,22.1686212804306,18.3998307215574,1.80555530478399
7.8,0.56,0.19,2.1,0.081,15,3.33,0.54,9.5,5,"red",0,10.3999861333518,16.9642554209725,19.9498104768005,1.92307667652863
7.8,0.56,0.19,2,0.081,17,3.32,0.54,9.5,5,"red",0,10.3999861333518,16.9642554209725,18.9998195017147,2.17948690006578
5.2,0.34,0,1.8,0.05,27,3.68,0.79,14,6,"red",0,15.2940726644922,41.1763494813251,25.1996472049391,5.19230669378717
6.3,0.39,0.08,1.7,0.066,3,3.34,0.58,9.4,5,"red",0,13.4042267995174,24.1025023012762,15.979849789412,0.476190400604698
8.1,0.67,0.55,1.8,0.117,32,3.17,0.62,9.4,5,"red",0,6.63933882021408,14.0298298062242,16.919840953495,3.95061679622015
5.8,0.68,0.02,1.8,0.087,21,3.54,0.52,10,5,"red",0,8.2857024489965,14.7058607266754,17.9998200018,3.62068903091568
7.6,0.49,0.26,1.6,0.236,10,3.11,0.8,9.3,5,"red",0,10.1333198222402,18.9795531029529,14.879861617287,1.31578930055404
6.9,0.49,0.1,2.3,0.074,12,3.42,0.58,10.2,6,"red",0,11.6948954323806,20.8162840483999,23.4597607104407,1.73913018273476
8.2,0.4,0.44,2.8,0.089,11,3.53,0.61,10.5,6,"red",0,9.7618931406034,26.2499343751641,29.3996913032413,1.34146325104107
7.3,0.33,0.47,2.1,0.077,5,3.33,0.53,10.3,6,"red",0,9.12498859376426,31.2120266302223,21.6297772132947,0.684931413023094
9.2,0.52,1,3.4,0.61,32,2.74,2,9.4,4,"red",0,6.05262759695553,18.0768883136763,31.959699578824,3.47826049149343
7.5,0.6,0.03,1.8,0.095,25,3.35,0.54,10.1,5,"red",0,11.9047430083444,16.8333052778245,18.1798163838545,3.33333288888895
7.1,0.43,0.42,5.5,0.07,29,3.42,0.72,10.5,5,"red",0,8.35293134949253,24.4185478638422,57.7493936313669,4.08450646697092
7.1,0.43,0.42,5.5,0.071,28,3.42,0.71,10.5,5,"red",0,8.35293134949253,24.4185478638422,57.7493936313669,3.94366141638572
7.1,0.68,0,2.2,0.073,12,3.48,0.5,9.3,5,"red",0,10.4411611159395,13.6764504758081,20.4598097237696,1.69014060702245
6.8,0.6,0.18,1.9,0.079,18,3.59,0.57,9.3,6,"red",0,8.71793754110572,15.4999741667097,17.6698356705283,2.64705843425611
7.6,0.95,0.03,2,0.09,7,3.2,0.56,9.6,5,"red",0,7.75509412745497,10.1052525207868,19.1998156817695,0.921052510387828
7.6,0.68,0.02,1.3,0.072,9,3.17,1.08,9.2,4,"red",0,10.8571273469609,13.5293918685414,11.9598899690123,1.18421037049864
7.8,0.53,0.04,1.7,0.076,17,3.33,0.56,10,6,"red",0,13.684186518971,18.8678889285115,16.9998300017,2.17948690006578
7.4,0.6,0.26,7.3,0.07,36,3.37,0.49,9.4,5,"red",0,8.604641157394,15.6666405555991,68.6193549780632,4.86486420745078
7.3,0.59,0.26,7.2,0.07,35,3.37,0.49,9.4,5,"red",0,8.5882251903233,15.9321763861417,67.6793638139801,4.79451989116166
7.8,0.63,0.48,1.7,0.1,14,3.19,0.62,9.5,5,"red",0,7.02702069637775,15.0793411439029,16.1498465764575,1.79487156476006
6.8,0.64,0.1,2.1,0.085,18,3.34,0.52,10.2,5,"red",0,9.18917677138274,15.9374750976952,21.4197815182285,2.64705843425611
7.3,0.55,0.03,1.6,0.072,17,3.37,0.48,9,4,"red",0,12.5861851962324,16.3636066116243,14.3998704011664,2.32876680427852
6.8,0.63,0.07,2.1,0.089,11,3.47,0.55,10.4,6,"red",0,9.71427183675452,16.5079103049043,21.8397728663622,1.61764682093429
7.5,0.705,0.24,1.8,0.36,15,3,1.59,9.5,5,"red",0,7.93649953809573,13.475158191265,17.0998375515433,1.99999973333337
7.9,0.885,0.03,1.8,0.058,4,3.36,0.33,9.1,4,"red",0,8.63387034549689,10.2824742570912,16.3798509433564,0.506329049831766
8,0.42,0.17,2,0.073,6,3.29,0.61,9.2,6,"red",0,13.5592990520355,21.9047097506911,18.3998307215574,0.749999906250012
7.4,0.62,0.05,1.9,0.068,24,3.42,0.57,11.5,6,"red",0,11.0447596346871,18.5483571800691,21.8497487278896,3.24324280496719
7.3,0.38,0.21,2,0.08,7,3.33,0.47,9.5,5,"red",0,12.3728603849824,24.9999342106994,18.9998195017147,0.958903978232332
6.9,0.5,0.04,1.5,0.085,19,3.35,0.78,9.5,5,"red",0,12.7777541152702,18.999962000076,14.249864626286,2.75362278933003
7.5,0.52,0.42,2.3,0.087,8,3.58,0.61,10.5,6,"red",0,7.97871491626073,20.1922688610214,24.1497464276625,1.06666652444446
7,0.805,0,2.5,0.068,7,3.48,0.56,9.6,5,"red",0,8.69564137187407,11.9254510242844,23.9997696022118,0.999999857142878
8.8,0.61,0.14,2.4,0.067,10,3.19,0.59,9.5,5,"red",0,11.7333176889097,15.5737449610738,22.7997834020577,1.13636350723142
8.9,0.61,0.49,2,0.27,23,3.12,1.02,9.3,5,"red",0,8.09090173554388,15.2458766461039,18.5998270216087,2.584269372554
7.2,0.73,0.02,2.5,0.076,16,3.44,0.52,9.3,5,"red",0,9.59998720001707,12.7397085757417,23.2497837770109,2.22222191358029
6.8,0.61,0.2,1.8,0.077,11,3.54,0.58,9.3,5,"red",0,8.39505136413412,15.2458766461039,16.7398443194478,1.61764682093429
6.7,0.62,0.21,1.9,0.079,8,3.52,0.58,9.3,6,"red",0,8.07227943098864,14.9999758064906,17.6698356705283,1.19402967253288
8.9,0.31,0.57,2,0.111,26,3.26,0.53,9.7,5,"red",0,10.1136248708808,31.2902216444463,19.3998118218253,2.9213479863654
7.4,0.39,0.48,2,0.082,14,3.34,0.55,9.2,5,"red",0,8.50573734972718,23.5896831033767,18.3998307215574,1.89189163623086
7.7,0.705,0.1,2.6,0.084,9,3.39,0.49,9.7,5,"red",0,9.56520550906148,13.7588457321337,25.2197553683729,1.16883101703493
7.9,0.5,0.33,2,0.084,15,3.2,0.55,9.5,5,"red",0,9.51806082161347,18.999962000076,18.9998195017147,1.89873393686912
7.9,0.49,0.32,1.9,0.082,17,3.2,0.55,9.5,5,"red",0,9.75307437892052,19.3877155352744,18.049828526629,2.151898461785
8.2,0.5,0.35,2.9,0.077,21,3.23,0.62,9.4,5,"red",0,9.6470474740618,18.7999624000752,27.2597437584087,2.56097529744204
6.4,0.37,0.25,1.9,0.074,21,3.57,0.62,9.8,6,"red",0,10.3225639958645,26.4864149015814,18.6198175257882,3.28124948730477
6.8,0.63,0.12,3.8,0.099,16,3.28,0.61,9.5,5,"red",0,9.0666545777939,15.0793411439029,36.099657053258,2.35294083044988
7.6,0.55,0.21,2.2,0.071,7,3.28,0.55,9.7,5,"red",0,9.99998684212258,17.6363315703062,21.3397930040079,0.921052510387828
7.8,0.59,0.33,2,0.074,24,3.25,0.54,9.4,5,"red",0,8.47825165407429,15.9321763861417,18.7998232816612,3.07692268244581
7.3,0.58,0.3,2.4,0.074,15,3.46,0.59,10.2,5,"red",0,8.29544511881237,17.5861765755576,24.4797503065469,2.05479423906928
11.5,0.3,0.6,2,0.067,12,3.11,0.97,10.1,6,"red",0,12.7777635802627,33.6665544448185,20.1997959820606,1.04347817013233
5.4,0.835,0.08,1.2,0.046,13,3.57,0.85,13,7,"red",0,5.90163289439028,15.5688436301274,15.5997972026364,2.4074069615913
6.9,1.09,0.06,2.1,0.061,12,3.51,0.43,11.4,4,"red",0,5.99999478261323,10.4587060011872,23.9397270871112,1.73913018273476
9.6,0.32,0.47,1.4,0.056,9,3.22,0.82,10.3,7,"red",0,12.1518833520464,32.1873994143768,14.4198514755298,0.93749990234376
8.8,0.37,0.48,2.1,0.097,39,3.04,1.03,9.3,5,"red",0,10.3529289965541,25.1350672025211,19.5298183726891,4.43181767820254
6.8,0.5,0.11,1.5,0.075,16,3.36,0.79,9.5,5,"red",0,11.1475227089792,18.999962000076,14.249864626286,2.35294083044988
7,0.42,0.35,1.6,0.088,16,3.34,0.55,9.2,5,"red",0,9.09089728454898,21.9047097506911,14.7198645772459,2.28571395918372
7,0.43,0.36,1.6,0.089,14,3.34,0.56,9.2,6,"red",0,8.86074827753382,21.3952990806998,14.7198645772459,1.99999971428576
12.8,0.3,0.74,2.6,0.095,9,3.2,0.77,10.8,7,"red",0,12.3076804733842,35.9998800004,28.0796967392752,0.703124945068364
7.8,0.57,0.31,1.8,0.069,26,3.29,0.53,9.3,5,"red",0,8.86362629133376,16.3157608495424,16.7398443194478,3.33333290598296
7.8,0.44,0.28,2.7,0.1,18,3.22,0.67,9.4,5,"red",0,10.8333182870579,21.3635878100277,25.3797614302426,2.30769201183436
11,0.3,0.58,2.1,0.054,7,3.31,0.88,10.5,7,"red",0,12.4999857954707,34.9998833337222,22.049768477431,0.636363578512402
9.7,0.53,0.6,2,0.039,5,3.3,0.86,12.4,6,"red",0,8.58406319994407,23.3961822713542,24.7996924838132,0.515463864385169
8,0.725,0.24,2.8,0.083,10,3.35,0.56,10,6,"red",0,8.29014684958876,13.7930844233318,27.9997200028,1.24999984375002
11.6,0.44,0.64,2.1,0.059,5,3.21,0.67,10.2,6,"red",0,10.7407307956196,23.1817654959875,21.4197815182285,0.431034445600479
8.2,0.57,0.26,2.2,0.06,28,3.3,0.43,10.1,5,"red",0,9.87950616926967,17.7192671591804,22.2197755802666,3.41463372992272
7.8,0.735,0.08,2.4,0.092,10,3.24,0.71,9.8,6,"red",0,9.5705404042449,13.3333151927684,23.5197695062588,1.28205111768575
